entidad_ascii,distrito,coalicion,grupo_parlamentario
PUEBLA,12,SIGAMOS HACIENDO HISTORIA,PT
PUEBLA,13,FUERZA Y CORAZON POR MEXICO,PAN
PUEBLA,13,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,14,FUERZA Y CORAZON POR MEXICO,PRI
PUEBLA,14,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,15,FUERZA Y CORAZON POR MEXICO,PAN
PUEBLA,15,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,16,FUERZA Y CORAZON POR MEXICO,PRD
PUEBLA,16,SIGAMOS HACIENDO HISTORIA,PVEM
QUERETARO,1,FUERZA Y CORAZON POR MEXICO,PRI
QUERETARO,1,SIGAMOS HACIENDO HISTORIA,MORENA
QUERETARO,2,FUERZA Y CORAZON POR MEXICO,PAN
QUERETARO,2,SIGAMOS HACIENDO HISTORIA,PVEM
QUERETARO,3,FUERZA Y CORAZON POR MEXICO,PAN
QUERETARO,4,FUERZA Y CORAZON POR MEXICO,PAN
QUERETARO,5,FUERZA Y CORAZON POR MEXICO,PRI
QUERETARO,5,SIGAMOS HACIENDO HISTORIA,MORENA
QUERETARO,6,FUERZA Y CORAZON POR MEXICO,PAN
QUERETARO,6,SIGAMOS HACIENDO HISTORIA,MORENA
QUINTANA ROO,1,FUERZA Y CORAZON POR MEXICO,PRD
QUINTANA ROO,1,SIGAMOS HACIENDO HISTORIA,PVEM
QUINTANA ROO,2,FUERZA Y CORAZON POR MEXICO,PRI
QUINTANA ROO,2,SIGAMOS HACIENDO HISTORIA,MORENA
QUINTANA ROO,3,FUERZA Y CORAZON POR MEXICO,PRI
QUINTANA ROO,4,FUERZA Y CORAZON POR MEXICO,PRD
QUINTANA ROO,4,SIGAMOS HACIENDO HISTORIA,MORENA
SAN LUIS POTOSI,1,FUERZA Y CORAZON POR MEXICO,PRI
SAN LUIS POTOSI,1,SIGAMOS HACIENDO HISTORIA,MORENA
SAN LUIS POTOSI,2,FUERZA Y CORAZON POR MEXICO,PRD
SAN LUIS POTOSI,2,SIGAMOS HACIENDO HISTORIA,PVEM
SAN LUIS POTOSI,3,FUERZA Y CORAZON POR MEXICO,PRI
SAN LUIS POTOSI,3,SIGAMOS HACIENDO HISTORIA,PVEM
SAN LUIS POTOSI,4,FUERZA Y CORAZON POR MEXICO,PRD
SAN LUIS POTOSI,4,SIGAMOS HACIENDO HISTORIA,MORENA
SAN LUIS POTOSI,5,FUERZA Y CORAZON POR MEXICO,PAN
SAN LUIS POTOSI,5,SIGAMOS HACIENDO HISTORIA,PVEM
SAN LUIS POTOSI,6,FUERZA Y CORAZON POR MEXICO,PRI
SAN LUIS POTOSI,6,SIGAMOS HACIENDO HISTORIA,PVEM
SAN LUIS POTOSI,7,FUERZA Y CORAZON POR MEXICO,PAN
SAN LUIS POTOSI,7,SIGAMOS HACIENDO HISTORIA,MORENA
SINALOA,1,FUERZA Y CORAZON POR MEXICO,PAN
SINALOA,1,SIGAMOS HACIENDO HISTORIA,PVEM
SINALOA,2,FUERZA Y CORAZON POR MEXICO,PAN
SINALOA,3,FUERZA Y CORAZON POR MEXICO,PRI
SINALOA,3,SIGAMOS HACIENDO HISTORIA,PT
SINALOA,4,FUERZA Y CORAZON POR MEXICO,PRD
SINALOA,4,SIGAMOS HACIENDO HISTORIA,PVEM
SINALOA,5,FUERZA Y CORAZON POR MEXICO,PAN
SINALOA,5,SIGAMOS HACIENDO HISTORIA,MORENA
SINALOA,6,FUERZA Y CORAZON POR MEXICO,PRI
SINALOA,7,FUERZA Y CORAZON POR MEXICO,PRI
SINALOA,7,SIGAMOS HACIENDO HISTORIA,MORENA
SONORA,1,FUERZA Y CORAZON POR MEXICO,PAN
SONORA,1,SIGAMOS HACIENDO HISTORIA,MORENA
SONORA,2,FUERZA Y CORAZON POR MEXICO,PRI
SONORA,2,SIGAMOS HACIENDO HISTORIA,MORENA
SONORA,3,FUERZA Y CORAZON POR MEXICO,PAN
SONORA,3,SIGAMOS HACIENDO HISTORIA,PT
SONORA,4,FUERZA Y CORAZON POR MEXICO,PRD
SONORA,4,SIGAMOS HACIENDO HISTORIA,PT
SONORA,5,FUERZA Y CORAZON POR MEXICO,PRI
SONORA,5,SIGAMOS HACIENDO HISTORIA,MORENA
SONORA,6,FUERZA Y CORAZON POR MEXICO,PAN
SONORA,6,SIGAMOS HACIENDO HISTORIA,PVEM
SONORA,7,FUERZA Y CORAZON POR MEXICO,PRI
SONORA,7,SIGAMOS HACIENDO HISTORIA,MORENA
TABASCO,1,FUERZA Y CORAZON POR MEXICO,PRD
TABASCO,2,FUERZA Y CORAZON POR MEXICO,PRD
TABASCO,3,FUERZA Y CORAZON POR MEXICO,PRD
TABASCO,4,FUERZA Y CORAZON POR MEXICO,PRI
TABASCO,5,FUERZA Y CORAZON POR MEXICO,PRD
TABASCO,6,FUERZA Y CORAZON POR MEXICO,PRI
TAMAULIPAS,1,FUERZA Y CORAZON POR MEXICO,PAN
TAMAULIPAS,1,SIGAMOS HACIENDO HISTORIA,PVEM
TAMAULIPAS,2,FUERZA Y CORAZON POR MEXICO,PAN
TAMAULIPAS,2,SIGAMOS HACIENDO HISTORIA,MORENA
TAMAULIPAS,3,FUERZA Y CORAZON POR MEXICO,PRI
TAMAULIPAS,3,SIGAMOS HACIENDO HISTORIA,PVEM
TAMAULIPAS,4,FUERZA Y CORAZON POR MEXICO,PRD
TAMAULIPAS,4,SIGAMOS HACIENDO HISTORIA,PVEM
TAMAULIPAS,5,FUERZA Y CORAZON POR MEXICO,PRI
TAMAULIPAS,5,SIGAMOS HACIENDO HISTORIA,PVEM
TAMAULIPAS,6,FUERZA Y CORAZON POR MEXICO,PAN
TAMAULIPAS,6,SIGAMOS HACIENDO HISTORIA,MORENA
TAMAULIPAS,7,FUERZA Y CORAZON POR MEXICO,PRI
TAMAULIPAS,7,SIGAMOS HACIENDO HISTORIA,MORENA
TAMAULIPAS,8,FUERZA Y CORAZON POR MEXICO,PAN
TAMAULIPAS,8,SIGAMOS HACIENDO HISTORIA,PT
TLAXCALA,1,FUERZA Y CORAZON POR MEXICO,PAN
TLAXCALA,1,SIGAMOS HACIENDO HISTORIA,PT
TLAXCALA,2,FUERZA Y CORAZON POR MEXICO,PRI
TLAXCALA,2,SIGAMOS HACIENDO HISTORIA,PVEM
TLAXCALA,3,FUERZA Y CORAZON POR MEXICO,PRD
TLAXCALA,3,SIGAMOS HACIENDO HISTORIA,PT
VERACRUZ,1,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,1,SIGAMOS HACIENDO HISTORIA,PVEM
VERACRUZ,2,FUERZA Y CORAZON POR MEXICO,PRD
VERACRUZ,2,SIGAMOS HACIENDO HISTORIA,PVEM
VERACRUZ,3,FUERZA Y CORAZON POR MEXICO,PRI
VERACRUZ,3,SIGAMOS HACIENDO HISTORIA,PVEM
VERACRUZ,4,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,4,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,5,FUERZA Y CORAZON POR MEXICO,PRD
VERACRUZ,5,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,6,FUERZA Y CORAZON POR MEXICO,PRD
VERACRUZ,6,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,7,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,7,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,8,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,9,FUERZA Y CORAZON POR MEXICO,PRI
VERACRUZ,9,SIGAMOS HACIENDO HISTORIA,PT
VERACRUZ,10,FUERZA Y CORAZON POR MEXICO,PRI
VERACRUZ,10,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,11,FUERZA Y CORAZON POR MEXICO,PRI
VERACRUZ,11,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,12,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,12,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,13,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,13,SIGAMOS HACIENDO HISTORIA,PVEM
VERACRUZ,14,FUERZA Y CORAZON POR MEXICO,PRD
VERACRUZ,14,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,15,FUERZA Y CORAZON POR MEXICO,PRI
VERACRUZ,15,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,16,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,16,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,17,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,17,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,18,FUERZA Y CORAZON POR MEXICO,PRD
VERACRUZ,18,SIGAMOS HACIENDO HISTORIA,PVEM
VERACRUZ,19,FUERZA Y CORAZON POR MEXICO,PRD
VERACRUZ,19,SIGAMOS HACIENDO HISTORIA,MORENA
YUCATAN,1,FUERZA Y CORAZON POR MEXICO,PAN
YUCATAN,1,SIGAMOS HACIENDO HISTORIA,MORENA
YUCATAN,2,FUERZA Y CORAZON POR MEXICO,PAN
YUCATAN,2,SIGAMOS HACIENDO HISTORIA,PVEM
YUCATAN,3,FUERZA Y CORAZON POR MEXICO,PRI
YUCATAN,3,SIGAMOS HACIENDO HISTORIA,MORENA
YUCATAN,4,FUERZA Y CORAZON POR MEXICO,PAN
YUCATAN,4,SIGAMOS HACIENDO HISTORIA,MORENA
YUCATAN,5,FUERZA Y CORAZON POR MEXICO,PRI
YUCATAN,5,SIGAMOS HACIENDO HISTORIA,PVEM
YUCATAN,6,FUERZA Y CORAZON POR MEXICO,PAN
YUCATAN,6,SIGAMOS HACIENDO HISTORIA,MORENA
ZACATECAS,1,FUERZA Y CORAZON POR MEXICO,PRI
ZACATECAS,1,SIGAMOS HACIENDO HISTORIA,MORENA
ZACATECAS,2,FUERZA Y CORAZON POR MEXICO,PAN
ZACATECAS,2,SIGAMOS HACIENDO HISTORIA,PVEM
ZACATECAS,3,FUERZA Y CORAZON POR MEXICO,PRD
ZACATECAS,3,SIGAMOS HACIENDO HISTORIA,PT
ZACATECAS,4,FUERZA Y CORAZON POR MEXICO,PRI
ZACATECAS,4,SIGAMOS HACIENDO HISTORIA,PT
