entidad,entidad_ascii,distrito,coalicion,grupo_parlamentario
CHIHUAHUA,CHIHUAHUA,4,SIGAMOS HACIENDO HISTORIA,PVEM
CHIHUAHUA,CHIHUAHUA,5,SIGAMOS HACIENDO HISTORIA,MORENA
CHIHUAHUA,CHIHUAHUA,6,SIGAMOS HACIENDO HISTORIA,MORENA
CHIHUAHUA,CHIHUAHUA,7,SIGAMOS HACIENDO HISTORIA,PT
CHIHUAHUA,CHIHUAHUA,8,SIGAMOS HACIENDO HISTORIA,PVEM
CHIHUAHUA,CHIHUAHUA,9,SIGAMOS HACIENDO HISTORIA,PVEM
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,1,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,2,SIGAMOS HACIENDO HISTORIA,PT
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,3,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,4,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,5,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,6,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,7,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,8,SIGAMOS HACIENDO HISTORIA,PVEM
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,9,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,10,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,11,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,12,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,13,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,14,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,15,SIGAMOS HACIENDO HISTORIA,PVEM
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,16,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,17,SIGAMOS HACIENDO HISTORIA,PVEM
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,18,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,19,SIGAMOS HACIENDO HISTORIA,PVEM
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,20,SIGAMOS HACIENDO HISTORIA,PT
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,21,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,22,SIGAMOS HACIENDO HISTORIA,MORENA
DURANGO,DURANGO,1,SIGAMOS HACIENDO HISTORIA,MORENA
DURANGO,DURANGO,2,SIGAMOS HACIENDO HISTORIA,PT
DURANGO,DURANGO,3,SIGAMOS HACIENDO HISTORIA,PVEM
DURANGO,DURANGO,4,SIGAMOS HACIENDO HISTORIA,PT
GUANAJUATO,GUANAJUATO,1,SIGAMOS HACIENDO HISTORIA,PT
GUANAJUATO,GUANAJUATO,2,SIGAMOS HACIENDO HISTORIA,MORENA
GUANAJUATO,GUANAJUATO,3,SIGAMOS HACIENDO HISTORIA,PVEM
GUANAJUATO,GUANAJUATO,4,SIGAMOS HACIENDO HISTORIA,MORENA
GUANAJUATO,GUANAJUATO,5,SIGAMOS HACIENDO HISTORIA,PVEM
GUANAJUATO,GUANAJUATO,6,SIGAMOS HACIENDO HISTORIA,MORENA
GUANAJUATO,GUANAJUATO,7,SIGAMOS HACIENDO HISTORIA,PVEM
GUANAJUATO,GUANAJUATO,8,SIGAMOS HACIENDO HISTORIA,MORENA
GUANAJUATO,GUANAJUATO,9,SIGAMOS HACIENDO HISTORIA,PVEM
GUANAJUATO,GUANAJUATO,10,SIGAMOS HACIENDO HISTORIA,MORENA
GUANAJUATO,GUANAJUATO,11,SIGAMOS HACIENDO HISTORIA,MORENA
GUANAJUATO,GUANAJUATO,12,SIGAMOS HACIENDO HISTORIA,MORENA
GUANAJUATO,GUANAJUATO,13,SIGAMOS HACIENDO HISTORIA,MORENA
GUANAJUATO,GUANAJUATO,14,SIGAMOS HACIENDO HISTORIA,MORENA
GUANAJUATO,GUANAJUATO,15,SIGAMOS HACIENDO HISTORIA,MORENA
GUERRERO,GUERRERO,1,SIGAMOS HACIENDO HISTORIA,MORENA
GUERRERO,GUERRERO,2,SIGAMOS HACIENDO HISTORIA,MORENA
GUERRERO,GUERRERO,3,SIGAMOS HACIENDO HISTORIA,PVEM
GUERRERO,GUERRERO,4,SIGAMOS HACIENDO HISTORIA,MORENA
GUERRERO,GUERRERO,5,SIGAMOS HACIENDO HISTORIA,PT
GUERRERO,GUERRERO,6,SIGAMOS HACIENDO HISTORIA,PVEM
GUERRERO,GUERRERO,7,SIGAMOS HACIENDO HISTORIA,MORENA
GUERRERO,GUERRERO,8,SIGAMOS HACIENDO HISTORIA,PVEM
HIDALGO,HIDALGO,2,SIGAMOS HACIENDO HISTORIA,PVEM
JALISCO,JALISCO,1,SIGAMOS HACIENDO HISTORIA,PT
JALISCO,JALISCO,2,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,JALISCO,4,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,JALISCO,6,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,JALISCO,7,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,JALISCO,8,SIGAMOS HACIENDO HISTORIA,PT
JALISCO,JALISCO,9,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,JALISCO,10,SIGAMOS HACIENDO HISTORIA,PVEM
JALISCO,JALISCO,11,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,JALISCO,12,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,JALISCO,13,SIGAMOS HACIENDO HISTORIA,PT
JALISCO,JALISCO,14,SIGAMOS HACIENDO HISTORIA,PVEM
JALISCO,JALISCO,15,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,JALISCO,16,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,JALISCO,17,SIGAMOS HACIENDO HISTORIA,PVEM
JALISCO,JALISCO,18,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,JALISCO,19,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,JALISCO,20,SIGAMOS HACIENDO HISTORIA,MORENA
MÉXICO,MEXICO,1,SIGAMOS HACIENDO HISTORIA,PVEM
MÉXICO,MEXICO,2,SIGAMOS HACIENDO HISTORIA,PT
MÉXICO,MEXICO,3,SIGAMOS HACIENDO HISTORIA,PT
MÉXICO,MEXICO,4,SIGAMOS HACIENDO HISTORIA,MORENA
MÉXICO,MEXICO,5,SIGAMOS HACIENDO HISTORIA,PT
MÉXICO,MEXICO,6,SIGAMOS HACIENDO HISTORIA,MORENA
MÉXICO,MEXICO,7,SIGAMOS HACIENDO HISTORIA,MORENA
MÉXICO,MEXICO,8,SIGAMOS HACIENDO HISTORIA,MORENA
MÉXICO,MEXICO,9,SIGAMOS HACIENDO HISTORIA,PVEM
MÉXICO,MEXICO,10,SIGAMOS HACIENDO HISTORIA,MORENA
MÉXICO,MEXICO,12,SIGAMOS HACIENDO HISTORIA,MORENA
MÉXICO,MEXICO,14,SIGAMOS HACIENDO HISTORIA,MORENA
MÉXICO,MEXICO,15,SIGAMOS HACIENDO HISTORIA,MORENA
MÉXICO,MEXICO,16,SIGAMOS HACIENDO HISTORIA,PT
MÉXICO,MEXICO,18,SIGAMOS HACIENDO HISTORIA,PVEM
MÉXICO,MEXICO,19,SIGAMOS HACIENDO HISTORIA,MORENA
MÉXICO,MEXICO,20,SIGAMOS HACIENDO HISTORIA,PVEM
MÉXICO,MEXICO,21,SIGAMOS HACIENDO HISTORIA,MORENA
MÉXICO,MEXICO,22,SIGAMOS HACIENDO HISTORIA,MORENA
MÉXICO,MEXICO,23,SIGAMOS HACIENDO HISTORIA,PVEM
MÉXICO,MEXICO,24,SIGAMOS HACIENDO HISTORIA,PVEM
MÉXICO,MEXICO,25,SIGAMOS HACIENDO HISTORIA,MORENA
MÉXICO,MEXICO,26,SIGAMOS HACIENDO HISTORIA,PVEM
MÉXICO,MEXICO,27,SIGAMOS HACIENDO HISTORIA,PT
MÉXICO,MEXICO,28,SIGAMOS HACIENDO HISTORIA,MORENA
MÉXICO,MEXICO,30,SIGAMOS HACIENDO HISTORIA,MORENA
MÉXICO,MEXICO,32,SIGAMOS HACIENDO HISTORIA,PT
MÉXICO,MEXICO,34,SIGAMOS HACIENDO HISTORIA,MORENA
MÉXICO,MEXICO,35,SIGAMOS HACIENDO HISTORIA,MORENA
MÉXICO,MEXICO,36,SIGAMOS HACIENDO HISTORIA,MORENA
MÉXICO,MEXICO,37,SIGAMOS HACIENDO HISTORIA,MORENA
MÉXICO,MEXICO,38,SIGAMOS HACIENDO HISTORIA,PVEM
MÉXICO,MEXICO,39,SIGAMOS HACIENDO HISTORIA,PT
MÉXICO,MEXICO,40,SIGAMOS HACIENDO HISTORIA,PVEM
MICHOACÁN,MICHOACAN,3,SIGAMOS HACIENDO HISTORIA,PT
MICHOACÁN,MICHOACAN,4,SIGAMOS HACIENDO HISTORIA,MORENA
MICHOACÁN,MICHOACAN,5,SIGAMOS HACIENDO HISTORIA,MORENA
MICHOACÁN,MICHOACAN,6,SIGAMOS HACIENDO HISTORIA,PT
MICHOACÁN,MICHOACAN,7,SIGAMOS HACIENDO HISTORIA,MORENA
MICHOACÁN,MICHOACAN,8,SIGAMOS HACIENDO HISTORIA,PVEM
MICHOACÁN,MICHOACAN,9,SIGAMOS HACIENDO HISTORIA,PVEM
MICHOACÁN,MICHOACAN,10,SIGAMOS HACIENDO HISTORIA,MORENA
MICHOACÁN,MICHOACAN,11,SIGAMOS HACIENDO HISTORIA,PT
MORELOS,MORELOS,1,SIGAMOS HACIENDO HISTORIA,MORENA
MORELOS,MORELOS,2,SIGAMOS HACIENDO HISTORIA,MORENA
MORELOS,MORELOS,3,SIGAMOS HACIENDO HISTORIA,PVEM
MORELOS,MORELOS,4,SIGAMOS HACIENDO HISTORIA,MORENA
MORELOS,MORELOS,5,SIGAMOS HACIENDO HISTORIA,MORENA
NAYARIT,NAYARIT,1,SIGAMOS HACIENDO HISTORIA,MORENA
NAYARIT,NAYARIT,2,SIGAMOS HACIENDO HISTORIA,MORENA
NAYARIT,NAYARIT,3,SIGAMOS HACIENDO HISTORIA,PT
NUEVO LEÓN,NUEVO LEON,1,SIGAMOS HACIENDO HISTORIA,PVEM
NUEVO LEÓN,NUEVO LEON,2,SIGAMOS HACIENDO HISTORIA,MORENA
NUEVO LEÓN,NUEVO LEON,3,SIGAMOS HACIENDO HISTORIA,PT
NUEVO LEÓN,NUEVO LEON,4,SIGAMOS HACIENDO HISTORIA,MORENA
NUEVO LEÓN,NUEVO LEON,5,SIGAMOS HACIENDO HISTORIA,PT
NUEVO LEÓN,NUEVO LEON,6,SIGAMOS HACIENDO HISTORIA,PT
NUEVO LEÓN,NUEVO LEON,7,SIGAMOS HACIENDO HISTORIA,PVEM
NUEVO LEÓN,NUEVO LEON,8,SIGAMOS HACIENDO HISTORIA,MORENA
NUEVO LEÓN,NUEVO LEON,9,SIGAMOS HACIENDO HISTORIA,PT
NUEVO LEÓN,NUEVO LEON,10,SIGAMOS HACIENDO HISTORIA,MORENA
NUEVO LEÓN,NUEVO LEON,11,SIGAMOS HACIENDO HISTORIA,MORENA
NUEVO LEÓN,NUEVO LEON,12,SIGAMOS HACIENDO HISTORIA,PVEM
NUEVO LEÓN,NUEVO LEON,13,SIGAMOS HACIENDO HISTORIA,PVEM
NUEVO LEÓN,NUEVO LEON,14,SIGAMOS HACIENDO HISTORIA,PT
OAXACA,OAXACA,1,SIGAMOS HACIENDO HISTORIA,MORENA
OAXACA,OAXACA,2,SIGAMOS HACIENDO HISTORIA,MORENA
OAXACA,OAXACA,3,SIGAMOS HACIENDO HISTORIA,PT
OAXACA,OAXACA,6,SIGAMOS HACIENDO HISTORIA,PT
OAXACA,OAXACA,7,SIGAMOS HACIENDO HISTORIA,PVEM
OAXACA,OAXACA,8,SIGAMOS HACIENDO HISTORIA,PVEM
OAXACA,OAXACA,9,SIGAMOS HACIENDO HISTORIA,PVEM
PUEBLA,PUEBLA,1,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,PUEBLA,2,SIGAMOS HACIENDO HISTORIA,PVEM
PUEBLA,PUEBLA,3,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,PUEBLA,4,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,PUEBLA,5,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,PUEBLA,6,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,PUEBLA,7,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,PUEBLA,8,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,PUEBLA,9,SIGAMOS HACIENDO HISTORIA,PVEM
PUEBLA,PUEBLA,10,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,PUEBLA,11,SIGAMOS HACIENDO HISTORIA,PT
PUEBLA,PUEBLA,12,SIGAMOS HACIENDO HISTORIA,PT
PUEBLA,PUEBLA,13,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,PUEBLA,14,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,PUEBLA,15,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,PUEBLA,16,SIGAMOS HACIENDO HISTORIA,PVEM
QUERÉTARO,QUERETARO,1,SIGAMOS HACIENDO HISTORIA,MORENA
QUERÉTARO,QUERETARO,2,SIGAMOS HACIENDO HISTORIA,PVEM
QUERÉTARO,QUERETARO,5,SIGAMOS HACIENDO HISTORIA,MORENA
QUERÉTARO,QUERETARO,6,SIGAMOS HACIENDO HISTORIA,MORENA
QUINTANA ROO,QUINTANA ROO,1,SIGAMOS HACIENDO HISTORIA,PVEM
QUINTANA ROO,QUINTANA ROO,2,SIGAMOS HACIENDO HISTORIA,MORENA
QUINTANA ROO,QUINTANA ROO,4,SIGAMOS HACIENDO HISTORIA,MORENA
SAN LUIS POTOSÍ,SAN LUIS POTOSI,1,SIGAMOS HACIENDO HISTORIA,MORENA
SAN LUIS POTOSÍ,SAN LUIS POTOSI,2,SIGAMOS HACIENDO HISTORIA,PVEM
SAN LUIS POTOSÍ,SAN LUIS POTOSI,3,SIGAMOS HACIENDO HISTORIA,PVEM
SAN LUIS POTOSÍ,SAN LUIS POTOSI,4,SIGAMOS HACIENDO HISTORIA,MORENA
SAN LUIS POTOSÍ,SAN LUIS POTOSI,5,SIGAMOS HACIENDO HISTORIA,PVEM
SAN LUIS POTOSÍ,SAN LUIS POTOSI,6,SIGAMOS HACIENDO HISTORIA,PVEM
SAN LUIS POTOSÍ,SAN LUIS POTOSI,7,SIGAMOS HACIENDO HISTORIA,MORENA
SINALOA,SINALOA,1,SIGAMOS HACIENDO HISTORIA,PVEM
SINALOA,SINALOA,3,SIGAMOS HACIENDO HISTORIA,PT
SINALOA,SINALOA,4,SIGAMOS HACIENDO HISTORIA,PVEM
SINALOA,SINALOA,5,SIGAMOS HACIENDO HISTORIA,MORENA
SINALOA,SINALOA,7,SIGAMOS HACIENDO HISTORIA,MORENA
SONORA,SONORA,1,SIGAMOS HACIENDO HISTORIA,MORENA
SONORA,SONORA,2,SIGAMOS HACIENDO HISTORIA,MORENA
SONORA,SONORA,3,SIGAMOS HACIENDO HISTORIA,PT
SONORA,SONORA,4,SIGAMOS HACIENDO HISTORIA,PT
SONORA,SONORA,5,SIGAMOS HACIENDO HISTORIA,MORENA
SONORA,SONORA,6,SIGAMOS HACIENDO HISTORIA,PVEM
SONORA,SONORA,7,SIGAMOS HACIENDO HISTORIA,MORENA
TAMAULIPAS,TAMAULIPAS,1,SIGAMOS HACIENDO HISTORIA,PVEM
TAMAULIPAS,TAMAULIPAS,2,SIGAMOS HACIENDO HISTORIA,MORENA
TAMAULIPAS,TAMAULIPAS,3,SIGAMOS HACIENDO HISTORIA,PVEM
TAMAULIPAS,TAMAULIPAS,4,SIGAMOS HACIENDO HISTORIA,PVEM
TAMAULIPAS,TAMAULIPAS,5,SIGAMOS HACIENDO HISTORIA,PVEM
TAMAULIPAS,TAMAULIPAS,6,SIGAMOS HACIENDO HISTORIA,MORENA
TAMAULIPAS,TAMAULIPAS,7,SIGAMOS HACIENDO HISTORIA,MORENA
TAMAULIPAS,TAMAULIPAS,8,SIGAMOS HACIENDO HISTORIA,PT
TLAXCALA,TLAXCALA,1,SIGAMOS HACIENDO HISTORIA,PT
TLAXCALA,TLAXCALA,2,SIGAMOS HACIENDO HISTORIA,PVEM
TLAXCALA,TLAXCALA,3,SIGAMOS HACIENDO HISTORIA,PT
VERACRUZ,VERACRUZ,1,SIGAMOS HACIENDO HISTORIA,PVEM
VERACRUZ,VERACRUZ,2,SIGAMOS HACIENDO HISTORIA,PVEM
VERACRUZ,VERACRUZ,3,SIGAMOS HACIENDO HISTORIA,PVEM
VERACRUZ,VERACRUZ,4,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,VERACRUZ,5,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,VERACRUZ,6,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,VERACRUZ,7,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,VERACRUZ,9,SIGAMOS HACIENDO HISTORIA,PT
VERACRUZ,VERACRUZ,10,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,VERACRUZ,11,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,VERACRUZ,12,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,VERACRUZ,13,SIGAMOS HACIENDO HISTORIA,PVEM
VERACRUZ,VERACRUZ,14,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,VERACRUZ,15,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,VERACRUZ,16,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,VERACRUZ,17,SIGAMOS HACIENDO HISTORIA,MORENA
VERACRUZ,VERACRUZ,18,SIGAMOS HACIENDO HISTORIA,PVEM
VERACRUZ,VERACRUZ,19,SIGAMOS HACIENDO HISTORIA,MORENA
YUCATÁN,YUCATAN,1,SIGAMOS HACIENDO HISTORIA,MORENA
YUCATÁN,YUCATAN,2,SIGAMOS HACIENDO HISTORIA,PVEM
YUCATÁN,YUCATAN,3,SIGAMOS HACIENDO HISTORIA,MORENA
YUCATÁN,YUCATAN,4,SIGAMOS HACIENDO HISTORIA,MORENA
YUCATÁN,YUCATAN,5,SIGAMOS HACIENDO HISTORIA,PVEM
YUCATÁN,YUCATAN,6,SIGAMOS HACIENDO HISTORIA,MORENA
ZACATECAS,ZACATECAS,1,SIGAMOS HACIENDO HISTORIA,MORENA
ZACATECAS,ZACATECAS,2,SIGAMOS HACIENDO HISTORIA,PVEM
ZACATECAS,ZACATECAS,3,SIGAMOS HACIENDO HISTORIA,PT
ZACATECAS,ZACATECAS,4,SIGAMOS HACIENDO HISTORIA,PT
